n4665450,雪笠、公鸣：信仰恒久 经年愈坚
n9362665,【秘档】红军“四渡赤水”真相
n9363557,袁斌：抗日旗帜下的罪恶（上）
n9364210,林辉：近三万遗孤受宋美龄救助 文革被揪斗
n9362692,【秘档】红军“飞夺泸定桥”纯属虚构
n9370212,林辉：脱离大公报追随中共 范长江自杀结局
n9371573,辛子陵：共产主义地狱（上）
n9375056,辛子陵：共产主义地狱（下）
n9375047,中共对知识分子的欺骗（1）延安圈套
n9376032,袁斌：抗日旗帜下的罪恶（中）
n9376435,杨宁：茅台前身老板被枪毙 国酒背后藏白骨
n9364347,【秘档】乌托邦运动高潮（二）
n9379926,袁斌：抗日旗帜下的罪恶（下）
n9382817,张东园：关于朝鲜战争的五大谎言
n9379204,中共对知识分子的欺骗（2）反右阳谋
n9397781,林辉：百年清华出大师  多人被侮辱戕害（中）
n9398847,九天剑：为私，是共产党永远不改的匪性
n9396373,林辉：百年清华出大师 多人被侮辱戕害（上）
n9398280,林辉：百年清华出大师  多人被侮辱戕害（下）
n9425921,林辉：抚养毛之子的“红牧师”厄运缠身
n9430553,晓明：我所亲历的大跃进与大饥荒
n9393043,中共对知识分子的欺骗（3）文革巨难
n9447941,林辉：物理学家欲建劳动党 打成右派拒认罪
n9455987,沉静：枫红血祭青葱魂
n9462963,【秘档】庐山会议后的民族大灾难（上）
n9464056,林辉：坐了中共十六年牢的美国人李敦白
n9462988,【秘档】庐山会议后四川饿死人超过一千万
n9468142,钟革：我了解的中共魔像（之三）
n9463053,【秘档】毛泽东的亲戚要求解散食堂
n9471767,顶峰：毛泽东的骗术及其反人类反文明罪行
n9476881,林辉：“八一”南昌暴动背后与发起者结局
n9473898,【秘档】中共不能公布的女特务沈安娜
n9479932,钟革：我了解的中共魔像（之四）
n9477108,中共对知识分子的欺骗（4）自由有多远
n9469974,【秘档】高岗“受宠”和“蒙冤”
n9484164,林辉：鸦片与中共的成立发展与壮大
n9484685,严家伟：一个漫长的恶梦
n9485959,【秘档】三大战役到底是怎么胜利的（上）
n9490066,杨昌鸣：南昌暴动被隐去的史实
n9488765,【秘档】三大战役到底是怎么胜利的（中）
n9489421,【秘档】傅作义至死不知的身边“潜伏者”
n9499755,梁木：江泽民御用文化人内幕（4）（上）
n9501021,梁木：江泽民御用文化人内幕（4）（下）
n9502851,紫电：讨伐马克思主义
n9506831,林辉：让党史需重写的纪录片《暴风骤雨》
n9510420,【秘档】中共中央军委葬送两万西路军性命
n9510509,【秘档】西路军惨败 中共嫁祸张国焘
n9516139,【秘档】延安整风、审干、洗脑运动（1）
n9521264,杨宁：“红色娘子军”与“南霸天”真相
n9521771,【秘档】延安整风中周恩来的丑态
n9523442,平原：扮演他的男人和他的女人都结局悲惨
n9521893,【秘档】整风中的“张克勤反革命特务案”
n9527083,【秘档】骇人听闻的延安“抢救运动”
n9532641,林辉：朱自清“被饿死”与其子之冤死
n9533262,【秘档】延安整风中一个特务未发现
n9540593,林辉：审判日本战犯的大法官选择了中共后
n9542912,【秘档】富田事变和肃反AB团（上）
n9545858,宋永毅：广西文革期间中共军队谋杀诱杀平民
n9544871,【秘档】富田事变和肃反AB团（下）
n9546407,傅国涌：重读王实味
n9546210,林辉：“坏透了”的康生 一生害人
n9549873,李银昭：她比傅雷更不应被忘记
n9552054,杨宁：从命斯大林 毛泽东搞秋收暴动为夺兵权
n9549529,唯物辩证法：共产运动蛊惑人的核心工具
n9559763,金雁：东欧没有“剧变”，人民从未留恋（上）
n9560370,林辉：捐飞机的豫剧皇后常香玉文革劫难
n9561496,金雁：东欧没有“剧变”，人民从未留恋（下）
n9556832,【秘档】大饥荒后的七千人大会（下）
n9566049,【秘档】文革预演：刘少奇和四清运动（上）
n9576223,麻花：血祭反右六十周年
n9572622,【秘档】文革预演：刘少奇和四清运动（下）
n9580195,【秘档】毛泽东和刘少奇的内斗（上）
n9584165,林辉：唐山和汶川大地震到底死了多少人？
n9583923,【秘档】毛泽东和刘少奇的内斗（下）
n9587152,林辉：中共加强洗脑 中小学新增课文谎言多
n9584059,【秘档】文革中软禁刘少奇的背后
n9589653,【秘档】刘少奇之死
n9597133,【秘档】中共为何袒护斯大林
n9605870,【秘档】中共连哄带吓要赫鲁晓夫助造核武
n9606609,林辉：邹碧华任长霞孔繁森“事迹”的背后
n9609924,钟革：我了解的中共魔像（之五）
n9613147,林辉：老子传大道 中共歪曲贻害无穷（上）
n9610561,震惊世界的苏联卡廷大屠杀真相
n9613225,林辉：老子传大道 中共歪曲贻害无穷（下）
n9619935,民间传说：仙人指点，不遭蝗灾
n9611904,【秘档】中苏交恶 吵得一塌糊涂
n9624913,林辉：郭兰英文革九死一生 歌声充斥谎言
n9632787,【秘档】毛泽东为何舍罗瑞卿换取林彪支持
n9640905,林辉：预言苏联崩溃的普列汉诺夫遗嘱
n9643504,【秘档】毛泽东和林彪之争斗
n9646846,杨宁：捐赠国宝的张伯驹文革被罚爬着示众
n9650312,中共篡改《天仙配》“经典”背后多遗恨
n9649029,【秘档】林彪要“篡党夺权”之谜
n9657508,钟革：朱毛红军使国人成人血馒头（二）
n9657976,杨宁：江青为何要迫害自己的恩人？
n9663727,林辉：文革养“忠字猪”等荒唐的献忠心
n9657367,【秘档】林彪被逼外逃（上）
n9669434,关乐：七‧七事变
n9669472,钟革：朱毛红军使国人成人血馒头（三）
n9668992,林辉：歪曲历史的小说《钢铁是怎样炼成的》
n9667633,【秘档】林彪被逼外逃（下）
n9673687,《裸体共产党人》揭45个颠覆美国的目标
n9679798,张复国：奉化游记
n9680999,钟革：朱毛红军使国人成人血馒头（四）
n9681771,林辉：亩产13万斤与“粮太多就吃五顿饭”
n9687582,林辉：教育大跃进 评教授以产量多少为标准
n9687928,钟革：朱毛红军使国人成人血馒头（五）
n9689842,严家伟：忆惨绝人寰的“计划生育”
n9694387,林辉：村村有李白 文艺界荒诞的“大跃进”
n9703196,橡树 ：一二八抗战，十九路军和蒋介石
n9704586,关月：自古流星昭天象
n9704441,杨宁：《铁道游击队》是毒草 作者演员生死劫
n9707496,橡树 ：钢的花朵——宋美龄抗战断章
n9707853,钟革：朱毛红军使国人成人血馒头（六）
n9710485,橡树：精武梦残之霍元甲
n9713041,林辉：“封建”本意被歪曲 中国人浑然不觉
n9717340,刘晓：充当斯大林吹鼓手的高尔基
n9716788,雾海夜航——跳江自杀的巨星石挥
n9718866,谁的芳华 谁的对越自卫反击战（上）
n9722495,橡树：徐州会战和突围解析——东方敦刻尔克大撤退
n9724230,林辉：儒家固人伦 中共批孔包藏祸心
n9720419,沉静：日本赤军的兴衰覆灭
n9727821,唐虞：官方不让你知道的长春惨剧
n9725038,谁的芳华 谁的对越自卫反击战（下）
n9729329,橡树：血染老山，1984春，中越战争非专业检讨（上）
n9731950,林辉：释迦牟尼传佛法 中共摧毁中国人信仰
n9732563,橡树：血染老山，1984春，中越战争非专业检讨（中）
n9729602,章阁：孙中山以心为本 恢复民族精神
n9734529,唐风：波兰“女辛德勒”鲜为人知的故事
n9736859,周晓辉：共产幽灵漂流中国大地 带来的是噩梦
n9742626,橡树：坦克，不可碾压的尊严
n9743219,本真：《推背图》预言习近平打老虎（一）
n9743091,林辉：佛教在共产党国家遭遇红色恐怖
n9746715,严家伟：毛泽东《咏雪》当年曾被民间痛批
n9729661,章阁：孙中山承传中华道统 福祉国人
n9748953,高天韵：《罪行摘要》——以真实洞穿谎言
n9753815,林辉：一副对联之争与遇罗克之死
n9756258,柬埔寨女儿的记忆：《他们先杀了我父亲》
n9757183,杨宁： 中共谎言之“三三制政权共享”
n9758393,刘晓：中共吹捧的商鞅非良臣 创万世恶法
n9759413,陆雯：1964年的一桩惨案
n9759878,钟革：朱毛红军使国人成人血馒头（七）
n9763033,林辉：兵仙韩信辉耀历史 中共歪批其“反动”
n9768373,北京女三中第一个共产党员的悲剧人生
n9772848,刘晓：救了毛一命的延安保卫处长凄惨下场
n9773019,古拉格历史博物馆 揭露斯大林红色恐怖
n9782273,高天韵：锡盖特博物馆 唤醒罗马尼亚的记忆
n9783517,林辉：刚正不阿包青天  中共歪批其虚伪
n9782865,你不了解的邓小平：反右运动总指挥（上）
n9788740,高天韵：匈牙利“恐怖屋”的黑暗记录
n9788075,你不了解的邓小平：反右运动总指挥（下）
n9789303,林辉：曾大红大紫的魏巍被批判与软禁的人生
n9792275,张东园：中共建党谎言与“一大”代表的悲惨命运
n9793368,你不了解的邓小平：与毛一同指挥大跃进（上）
n9799674,刘晓：被中共打造的“革命母亲”杨沫
n9802518,你不了解的邓小平：与毛一同指挥大跃进（下）
n9806020,刘晓：几置李锐于死地的“革命母亲”范元甄
n9809482,吐斯廉博物馆告诉世界：柬埔寨发生过什么
n9810260,林辉：诸葛亮遗迹被毁 责任者江青秘书遭劫
n9812644,游兆和：从“十月革命”看共产革命本质
n9814027,十月革命百年 美重磅评论剖析共产主义罪恶
n9817670,汉清：百年沧桑
n9817759,袁斌：“十月革命”真相与俄国三大倒退
n9819782,布拉格共产主义受难者纪念碑背后故事
n9823637,苦胆：“十月革命一声炮响”放的是空炮
n9829932,杨宁：邓小平妻兄服毒自尽 两连襟被迫害死
n9830362,夏侯：布尔什维克禁用卍字符的恶果
n9840046,林辉：影射“毛太阳”《十万个为什么》被批
n9839893,郭婉莹——被遗忘的“上海公主”
n9844503,毛泽东诗词的“血旗情结”
n9842766,围墙不是永久景观——从柏林墙说起
n9847533,共产主义受难者纪念碑与去共化浪潮
n9844557,毛泽东诗词“蔑视祖宗 自认风流”
n9859787,杨宁：中南海内部电影与特供“内片”
n9856265,毛泽东诗词中的“真情”与马列婚外情
n9870365,林辉：文革第一禁书作者曾被内定死刑
n9888434,杨宁：周恩来初恋女友投河 其子被打成右派
n9856722,毛泽东诗词“假借祭祖 骗取民心”
n9896712,金剑：中央集权制绝对不是封建社会
n9898377,折断的蝴蝶翅膀──慈禧御前女官舞蹈家裕容龄
n9864134,毛泽东诗词宣扬暴力 为文革武斗输注能量
n9913343,淳子：闺秀文革自杀名单
n9919603,王江火：“抗美援朝”不具备正义性
n9921539,尹曙生：产粮大省为何饿死人
n9922246,林辉：文革冤案中周恩来的落井下石与冷酷
n9926680,文武：鲁迅在中共破坏中国传统文化中的作用
n9929355,尹曙生：触目惊心的杀人运动
n9936116,林辉：误信周恩来  南开创始人郁郁而终
n9937008,陈益南：怵目惊心！1951年的“镇反”
n9864143,毛泽东诗词中的抄袭现象
n9910984,文革中自杀的名人（1）人民日报总编邓拓
n9940966,高天韵：《共产主义的终极目的》是救世神书
n9943237,林辉：上了中共当的“一二九”学生运动
n9947938,张易：批马篇（二）共产主义是贫穷的根源
n9947822,文革中自杀的几个名人（2）文联主席老舍
n9951023,林辉：周恩来如此对待两位救命恩人
n9951832,老绥远韩氏：文革酷刑实录
n9894907,毛时代的诗坛乱象
n9955432,文革中自杀的几个名人（3）红岩作者罗广斌
n9958294,金剑：中央集权制绝对不是封建社会（之二）
n9959503,佚名：这个“英雄”诞生记让人不寒而栗……
n9894912,毛泽东诗词被党媒“高级黑”
n9959300,文革中自杀的几个名人（4）史学家翦伯赞
n9964704,刘晓：正统婚礼有深意 中共扭曲藏祸心
n9966250,文革中自杀的几个名人（5）翻译家傅雷
n9970786,明白人：“平型关大捷”的真相
n9970937,严家伟：访“共产主义接班人”的集体大坟场
n9971114,文革中自杀的几个名人（6）留美学者陈梦家
n9981424,林辉：中共治下红楼泪 谁解其中味？
n9986897,莫斯科“悲伤墙”背后的故事
n9988943,共产党毁灭人类暴政录——前言
n9978292,文革中自杀的几个名人（8）“御用文人”吴晗
n9992657,林辉：贾宝玉林黛玉扮演者曾被叫“阿飞”
n9993508,爱德华：中共从道德上彻底摧毁中国人
n9996650,揭秘“四一二反革命政变”的历史真相（上）
n10003609,大逃港：哪里有自由，哪里就是我的祖国！
n10004515,揭秘“四一二反革命政变”的历史真相（下）
n10006546,坚持共产体制推改革 波共前书记被轰下台
n10007999,文武：反“礼教”与中共罪恶
n10004659,共产暴政录：批判武训，拒绝特蕾莎修女
n10009267,林辉：相声演员马三立苦涩的“逗你玩”人生
n10010812,文武：反封建“等级制度”是典型的党文化
n10013328,文武：中共毁灭了中国社会“三权分立”的传统
n10014980,林辉：文革荒诞事 误损毛像引出大祸端
n10015801,文武：中共篡政（一）
n10015819,文武：中共篡政（二）
n10020053,对知识份子的迫害——思想改造运动
n10021983,杨宁：官司风波再起 红色舞剧洗脑没商量
n10015824,文武：中共篡政（三）
n10022923,宋永毅：江青和张玉凤的秘密战争
n10026687,金剑：秦朝以后的中国是半民主社会
n10018540,戏剧家英若诚的线人生涯
n10029772,林辉：中共翻云覆雨 齐白石去世后被打倒
n10032641,作恶者鉴：迫害法轮功终难逃法网
n10035147,林辉：雍和宫躲过文革有因 毁佛像者下场惨
n10040271,共产暴政录：“胡风反革命集团”案
n10043633,叶光庭：共产党把我从“左派”改造成“右派”
n10044605,共产党暴政录：反右运动
n10023278,天下收藏第一人张伯驹的悲喜人生（上）
n10047238,曾伯炎：右派，在中国古拉格的生死劫
n10045158,《苦菜花》人物原型的真实人生（1）
n10054247,杨宁：不容粉饰 巴金季羡林韦君宜痛批文革
n10045340,《苦菜花》人物原型的真实人生（2）
n10045322,《苦菜花》人物原型的真实人生（3）
n10061771,共产暴政录：拼音化与简化汉字
n10058256,林辉：老百姓恨日本人也恨八路军的背后
n10063990,苏智敏：血腥计生悲歌——帮凶  弃卒  泪水
n10064050,袁斌：由谍战剧《风筝》说到中共特工的命运
n10045304,《苦菜花》人物原型的真实人生（4）
n10066904,信力建：谁抽去了中国人的脊梁？
n10066835,袁斌：戈培尔妻子的理想歧途
n10066862,智效民：著名物理学家饶毓泰的悲剧
n10069025,杨宁：八路军为何大量购买治花柳病的药品？
n10048859,《苦菜花》人物原型的真实人生（5）
n10073567,中共教育投入与民国时期的教育投入
n10077932,中国教育的失败源于破坏传统文化及灌输党文化
n10048915,《苦菜花》人物原型的真实人生（6）
n10071544,唐恩：从天安门自焚骗局看善恶有报
n10079307,林辉：周恩来主任秘书自杀 亲戚文革遭殃
n10077365,金剑：阶级斗争是民族毁灭的动力
n10082527,谢泳：叶企孙饶毓泰的死
n10085548,郑兢业：人吃与吃人（一 ）
n10088158,林辉：民国长春市长厚颜事共 文革差点被打死
n10086007,郑兢业：人吃与吃人（二）
n10089507,共产暴政录：“破四旧”
n10037691,天下收藏第一人张伯驹的悲喜人生（下）
n10086108,郑兢业：人吃与吃人（三）
n10093465,林辉：江青法庭辩护词透露的真相
n10094168,如初：再回顾民国学人批苏俄
n10096052,郑兢业：人吃与吃人（四 ）
n10099100,郑兢业：人吃与吃人（五）
n10099688,共产暴政录：上山下乡运动
n10061474,“不学ABC 能做接班人”的张玉勤
n10101129,林辉：沈阳雪堆中千余苏军尸体背后的暴行
n10099159,郑兢业：人吃与吃人（六）
n10101897,袁斌：农民运动与中共暴行暴政
n10107668,林辉：导演陈凯歌对父亲终生的愧疚
n10112268,林辉：红色公主的大字报让军报少将家破人亡
n10120117,林辉：文革“群丑图”从热传到被封杀的背后
n10121258,郑克中：北大“文革”二三事
n10129004,袁斌：中共早期“革命史”的真相（2）
n10131106,林辉：北京四中老师们健忘背后的残酷真相
n10134371,中共反对提倡“礼义廉耻”的新生活运动
n10134744,沉静：切·格瓦拉——魔幻偶像（一）
n10139001,高诵芬、徐家祯：抄家
n10139150,袁斌：中共非法抢劫剥夺富人财产的真相
n10137177,沉静：切·格瓦拉——魔幻偶像（二）
n10138788,中共进入联合国与尼克松访华内幕（上）
n10144729,林辉：支持缅共的知青旅往事并不如烟
n10145540,关敏：不许鼓吹“蒋经国时代”
n10147841,袁斌：河南信阳姜寨村大饥荒时代的往事
n10149315,沉静：切·格瓦拉——魔幻偶像（三）
n10147874,“一打三反”运动：文革中血腥的一幕
n10153765,共产暴政录——消灭宗教
n10154324,杨宁：中共大年期间洗脑国人始于延安时期
n10157890,沉静：切·格瓦拉——魔幻偶像（四）
n10158455,林辉：为何“六九届”学生少有成功人士？
n10162566,共产暴政录——杀父竟成学习榜样
n10165368,赵刚：穿制服的思想
n10172889,袁斌：中共抓壮丁连老弱小孩也不放过
n10173051,艾以：音乐家陈歌辛的最后岁月
n10174332,周晓辉：叶利钦退出苏共引发退党潮
n10175949,袁斌：中共一波又一波的残忍内斗
n10179177,名为开放实为开抢的邓小平理论 (上)
n10185727,“石油之父”惨遭灭门（上）
n10185925,名为开放实为开抢的邓小平理论 (下)
n10186094,林辉：天安门杀毛案疑点重重 侦案者冤狱七年
n10185855,“石油之父”惨遭灭门（下）
n10143963,中共进入联合国与尼克松访华内幕（下）
n10195043,袁斌：中共“苏维埃共和国”的专制实验
n10200300,共产暴政录：12岁孩子告密父亲成“英雄”
n10195670,陈峰：造毛泽东像那些稀罕事儿
n10199292,古玉文：消灭私有制不是出路（上）
n10203021,泣血而书——民国与文革中知识份子的命运
n10202468,林辉：“爱有阶级性”后的人伦惨剧
n10207223,共产暴政录：儿子告发母亲致其母被处决
n10204699,古玉文：消灭私有制不是出路（中）
n10208093,古玉文：消灭私有制不是出路（下）
n10214588,刘晓：斯大林“文学总管”的自我毁灭
n10214702,中共淫乱的前生今世（1）马列斯毛
n10222351,还原真实的中共：共产党大力拥护民主！？
n10217201,极限饥饿：灵与肉的双重凌迟（上）
n10219359,中共淫乱的前生今世（2）江氏“新时代”
n10223963,“西单民主墙”前后的邓小平
n10217581,极限饥饿：灵与肉的双重凌迟（下）
n10232283,北虹：我心中的那道伤痕
n10232804,共产暴政录：精于绑票和洗劫的方志敏
n10234497,林辉：财大气粗的共产国际背后是血腥掠夺
n10235717,袁斌：重温“革命烈士”夏明翰的《就义诗》（上）
n10229517,中共淫乱的前生今世（3）政治局六淫棍
n10239833,袁斌：重温“革命烈士”夏明翰的《就义诗》（下）
n10237420,中共淫乱的前生今世（4）央视“后宫”
n10242561,袁斌：方志敏的“清贫”
n10243539,中共淫乱的前生今世（5）公共情妇门
n10248973,还原真实的中共：年轻人乌托邦梦碎
n10252063,袁斌：用鲜血染红的“恶之花”
n10247979,中共淫乱的前生今世（6）淫乱大看台
n10262441,张敏：王同竹之死——“文革”焚书坑儒一例
n10263600,共产暴政录：宣导暴力杀戮的彭湃
n10263648,共产暴政录：迫害法轮功，毁坏道德
n10267172,许茹：迫害宗教或终止迫害 罗马皇帝不同命
n10265684,共产暴政录：中共为什么要败坏中国人的道德
n10272258,杨宁：庆祝毛死去的年轻人被判死缓后
n10280071,路目：孔子诛杀少正卯 惹恼了谁？
n10250277,中共淫乱的前生今世（7）高危的情妇们
n10284443,林辉：受蒋介石赞赏的“苗王”被逼自杀背后
n10283458,李庆霖“知青英雄”悲剧是如何造成的(上)
n10257597,中共淫乱的前生今世（8）党官淫乱校园
n10285705,李庆霖“知青英雄”悲剧是如何造成的(下)
n10291663,林辉：热爱自由的北大“右派”之出局人生
n10271780,中共淫乱的前生今世（9）四大基础
n10283450,改革开放总设计师还是“总扼制师”？(上)
n10285795,改革开放总设计师还是“总扼制师”？(下)
n10306820,【还原史实】 整风运动 魔鬼整人初试啼声
n10307016,心升：以史为镜看毛邪（上）
n10307769,中共淫乱的前生今世（10）溃堤效应
n10309909,心升：以史为镜看毛邪（中）
n10310732,共产暴政录：台湾土改与大陆土改的对比
n10311201,心升：以史为镜看毛邪（下）
n10313172,孙陇：文革中张国柱一家的自杀
n10307862,中共淫乱的前生今世（11）前车之鉴
n10319814,裴毅然：重庆谈判真相——破裂主责在“共”
n10326635,杨宁：“四二五”政治构陷 江派黑手待拿下
n10343446,刘白：晚清张謇的幻想
n10353384,郑恩宠：中国打压 招安律师与林昭精神
n10356748,林辉：并未救国的“五四运动”只是胡闹而已
n3077476,【史实】卡尔·马克思的成魔之路
n10358233,共产暴政录：土改是中共邪恶基因的实践
n10359777,张立先：拜谒李庄
n10361532,周晓辉：恩格斯资助马克思并为其顶包背后
n2962346,鲜为人知的马克思之一：专制的马克思
n10360803,共产暴政录：统购统销洗劫中国农民
n2962557,鲜为人知的马克思之二：自大的马克思
n2965989,鲜为人知的马克思之三：虚荣的马克思
n10371607,共产党暴政录：三反五反运动
n2974481,鲜为人知的马克思之四：好斗的马克思
n2974541,鲜为人知的马克思之五：自私的马克思
n10377672,林辉：民国三位大师眼中的共产主义很可怕
n10379858,剑平：抗美援朝？时间地点对手名义结果全错
n2976689,鲜为人知的马克思之六：信神的马克思
n10382929,共产暴政录：公私合营（工商改造）
n10393987,林辉：掩盖大饥荒真相 五省书记罪责难逃（上）
n10394634,共产暴政录：抢教堂庙宇的献堂献庙
n10395165,【还原史实】谁在对日抗战？谁在借机发展？
n10398402,林辉：掩盖大饥荒真相 五省书记罪责难逃（下）
n10403852,老绥远韩氏：文革阅读经历
n10405751,林辉：燕京大学校长相信中共后的结局
n10405198,蔡霞：文革是一场每个人命运的浩劫
n2977832,鲜为人知的马克思之七：渎神的马克思
n10414742,共产暴政录：文革抄家抢了多少财宝
n2978870,鲜为人知的马克思之八：魔性的马克思
n10418231,晓明：一个枪口余生者的人生之路
n10420942,本真：《推背图》预言中美朝日大战及结局（一）
n10420856,林辉：李大钊误导北大学生同时也在卖国
n10427499,严家伟：文革中的监狱往事
n10430861,新闻奇才拒赴台湾 命丧中共劳改营
n10435561,罗思义：一个到死还相信共产党伟大的“学者”
n10438143,刘晓：共产党“告密者001号”的结局
n10439090,严家伟：滥杀无辜草菅人命的“镇反运动”
n10446785,共产暴政录：从船王卢作孚自杀看中共劫财手段
n10448635,林辉：上书毛反对土改 农学家慧眼识中共
n10464792,本真：《推背图》预言中美朝日大战及结局（二）
n10470479,林辉：写信赞成毛退位的陈铭枢之结局
n10471335,《天安门杀戮》挖到六四事件的根
n10478618,本真：《推背图》预言中美朝日大战及结局（三）
n10479888,王锐：“儿童政治犯”的故事
n10486558,【还原史实】国共内战中被欺骗的美国政府
n10487343,抗日战争期间中共做了啥？ 由图表告诉你！(一)
n10491587,《共产党宣言》是共产邪灵向人类的宣战书
n10492678,仰岳：共产党如何干扰美国的对华政策
n10498401,孙盛起：撒旦横行，圣婴只能死去
n10498992,裴毅然：再说“四•一二”
n10491766,朝鲜战争锣鼓掩盖下的暴力土改
n10513103,唐铭：维权老兵需了解韩战的中国战俘刺青浪潮
n10515170,林辉：蔡元培东床快婿的惨痛人生
n10515765,孙盛起：自己选择的路，只好用上吊绳走完
n10513377,土改中的按比例杀人与反人类酷刑
n10513884,中共用战争的方式进行土改和镇反
n10513937,摧毁传统乡绅制与现代法治基础的痞子运动
n10525205,林辉：中共“志愿军”唯一回国女战俘的遭遇
n10538029,王友琴：文革中的王冷之死
n10551502,【还原史实】镇反土改 中共建政初年的恐怖统治
n10556515,凌晓辉：毒害人类灵魂的共产主义理论（上）
n10561691,林辉：苏联20万“笑话犯”被关背后的荒谬
n10569800,刘晓：中共效仿纳粹大规模焚书 结局相同
n10570999,凌晓辉：毒害人类灵魂的共产主义理论（中）
n10576459,晓明：桂林“文革”运动的回忆与思考
n10571152,凌晓辉：毒害人类灵魂的共产主义理论（下）
n10585277,郭小林：“发配”老马号
n10588772,广州市“李一哲”炮打文革的闹剧
n10590053,烧杀抢如何成为中共土地革命的“初心”
n10597749,林辉：因曾与美国上将同台 燕大教授一家凄惨
n10600549,文革中自杀的中共省委书记阎红彦
n10602910,【还原史实】“三反五反”掠夺企业主 引爆自杀潮
n10606663,大兴文革：踩撕婴儿 活埋祖孙 一夜杀百人
n10607931,林辉：中共红军“三大纪律”掩盖下的恶行
n10612921,炮灰与英雄——中美韩战军人的命运
n10615598,卞世传：江泽民篡改扬州抗日史的卑劣无耻
n10619679,林辉：教授从练习低头弯腰到乐极生悲
n10620856,历经磨难的学者——吴门三大右派
n10625340,玉清心：文革“破四旧”不堪回首 但不能遗忘
n10637364,中共“文艺沙皇”被囚9年 晚年反思悲剧终局
n10624963,捡纸鸣冤、“反毛”凉鞋与“毛语录仗”
n10645382,严家伟：杀人越货丧尽天良的“土改”
n10648920,俞心诚：凯撒之死
n10650677,林辉：开了北大自杀先例的史学教授
n10656949,胡健：少年反革命
n10666303,观雨堂主：大陆高校的“秘密信息员”
n10670499,林辉：但愿来生不姓“胡”
n10672001,袁斌：计划生育，酿成了多少灭绝人性的惨剧
n10672735,为反右开场祭旗：三人被处决 万人围观
n10686541,古玉文：名流上书中共的伤痕往事
n10689028,顾雪雍：89岁老人说往事 一字一泪斥残暴
n10695964,林辉：五四运动“第一烈士”是历史的赝品
n10698182,共产暴政录：中共在苏区杀人如麻
n10702629,【还原史实】反右运动 中国知识分子惨遭摧折
n10705738,古玉文：红谍郭汝瑰不忘初心 助共为虐食苦果
n10708622,陋兰：隐瞒和谎言，极权身体里的黄色血液
n10711194,“富田兵变”遭镇压 尸体填满整个山沟
n10712571,林辉：中共地雷战幕后清华师生的惨死
n10714814,川普总统在93号航班9·11悼念仪式上的讲话全文
n10715065,古玉文：公安局长卧底校长 百名少年惨成右派
n10711496,共产暴政录：喊错口号导致六千人被杀
n10730270,观雨堂主：“道德错乱”下的卞仲耘之死
n10742140,韩丽明：麻雀的哀歌
n10747311,裴毅然：中共抗战“游而不击”的史证（一）
n10747812,东欧剧变第一国 波兰抛弃共产主义之路
n10749135,林辉：邓小平女儿指北大曾变成法西斯集中营
n10752312,谭松：一个被摧折了“阳根”的老地主
n10752586,共产暴政录：毛泽东同学夏曦“肃反”创纪录
n10752911,智诚：“除夕宴”在恸哭声中进行
n10735061,古玉文：窃国初期中共几十万干部争当陈世美
n10752825,共产暴政录：张国焘鄂豫皖根据地肃反
n10743859,古玉文：公私合营献产业 武百祥命陨红朝
n10761251,谭松：对大地主刘文彩庄园的采访
n10761662,周晓辉：从崇祯皇帝救不了大明王朝说当下
n10757209,共产暴政录：红四方面军在四川杀民众百万
n10770724,裴毅然：毛泽东真诚“感谢皇军”
n10771577,和平砥柱——丘吉尔的“铁幕”演说
n10773796,邪恶帝国——里根总统谴责苏联共产政权
n10774701,推倒这堵墙——里根总统的柏林墙演讲
n10781989,林辉：北京反驳彭斯 需要补历史课的是谁？
n10784939,共产暴政录：“抗美援朝”真相
n10786224,老贫农：在大饥荒中人是怎样被活活饿死的？
n10785014,共产暴政录：镇压“反革命”运动
n10793353,林辉：金庸堂哥穆旦走到了幻想的尽头
n10798292,共产暴政录：五十年代的肃反运动
n10799353,潜伏在中华民国和台湾的中共间谍（1）
n10801600,潜伏在中华民国和台湾的中共间谍（2）
n10802534,韩丽明：游街
n10809395,潜伏在中华民国和台湾的中共间谍（3）
n10809856,严家伟：人间地狱，四川古蔺岔角滩
n10806244,林辉：当炮灰还成“叛徒”王成原型人生尽毁
n10812825,潜伏在中华民国和台湾的中共间谍（4）
n10813474,大饥荒是中共有计划的屠杀手段（上）
n10821837,林辉：文革偷听“敌台”让一些中国人觉醒
n10823173,【还原史实】中共“大跃进” 四千万中国人活活饿死
n10828040,大饥荒是中共有计划的屠杀手段（中）
n10829782,许茹：十月逾五十次地震 天象示警情势危
n10834250,林辉：一生没有得到思维乐趣的王小波之父
n10834918,曾伯炎：杀母红卫兵孔繁路的悲剧
n10840435,大饥荒是中共有计划的屠杀手段（下）
n10835148,中华传统文化之叹——消逝的城墙（上）
n10835295,中华传统文化之叹——消逝的城墙（下）
n10846318,共产暴政录：疯狂恐怖的“红八月”
n10847366,林辉：燕大西语系四教授 文革三死一疯
n10859288,慧勉：古代官员善心理政故事数则
n10862316,刘晓：祠堂被毁 不孝子孙愧对先祖
n10863025,晓明：永难忘怀的血泪史
n10878489,共产暴政录：文革中教师校长被打死
n10879954,林辉：共产党国家的“作秀公审”
n10882697,谢显宁：董时进、董时光兄弟生死劫
n10885699,陆文：生与死的抉择
n10889466,裴毅然：中共小知党（四）
n10894661,林傲霜：为了活命的冒险——瞒产私分
