n11768216,廖祖笙：2020年或为暴政收官年
n12188425,【网海拾贝】中共高层又难以入眠了
n12188778,金剑：错漏百出的唯物主义及其危害（中）
n12190517,【网海拾贝】中共病毒可能在一、两周后大爆发
n12191766,祝君安：北京 需要反省
n12191806,吴新：无产革命家最怕家无产
n12191847,万古缘：疫鬼满红都
n12191909,金剑：错漏百出的唯物主义及其危害（下）
n12190804,念九字真言——武汉肺炎临床疗效的研究报告
n12193964,【网海拾贝】中国学者警告北京病毒可能比武汉强
n12194626,关乐： 三文鱼三三问
n12194752,行子：纽约琐事
n12195238,顾国平：共产邪恶恐怖残暴的结果
n12196689,吐为快：菩萨蛮 · 末日晚钟
n12196834,当今红朝“火眼金睛”“金箍棒”已非正能量
n12197648,【网海拾贝】苍天有眼，病毒跟着共产党跑
n12199226,美国冷战武器盘点：B-2隐形轰炸机
n12199598,【网海拾贝】“蓬杨会”失败，中美摊牌
n12199650,金浴凤：青玉案•红朝的悲哀
n12199902,士子：上帝的归上帝 撒旦的归撒旦
n12201174,千瑞：渔家傲
n12201220,理悟：垃圾桂冠“21世纪马克思主义”
n12202368,美国冷战武器今派用场 B-1B轰炸机
n12202630,吐为快：丑奴儿·爱党的滋味
n12202666,伍新：撕去“现代哲学”的伪装（一）
n12202996,李春草：破阵子·小康梦
n12203675,【网海拾贝】港版国安法何不正名香港维稳法？
n12201610,北京疫情告急背后与武汉相同之处
n12205646,【网海拾贝】中共开始堂而皇之干涉美国内政
n12208163,金浴凤：中共国的妖魔道
n12211190,【网海拾贝】中共“外宣军”在美遭猛烈狙击
n12211310,伍新：撕去“现代哲学”的伪装（二）
n12213076,【网海拾贝】：不要把BLM和反送中混为一谈
n12212960,有感于中国留学生回国难
n12215381,【网海拾贝】中共就是明目张胆喊价的绑匪
n12215653,李春草：渔歌子三章
n12215700,郑纯清：“郑重辟谣”似罩屏
n12215730,吴新：申纪兰住院照感
n12215786,吐为快：中共病毒已污染天空
n12216543,云鹤天：救命良方
n12216556,祝君安：望江南·申纪兰（二章）
n12216875,【网海拾贝】中共在美无所不偷，能偷多少算多少
n12216507,美国冷战武器今派用场：俄亥俄级核潜艇
n12217720,钟原：习近平入“云端” 赵乐际仍隐身
n12218038,云鹤天 ：新编《黔之驴》
n12218049,金浴凤：望神州
n12218278,【网海拾贝】证人现身指证——重庆徐真惨遭活摘死亡
n12218396,子薇：清醒
n12218425,子薇：盼望你，灾难来时能躲避
n12218887,谢燕益：抵抗极左思潮避免悲剧重演致湖南省国安厅公开信
n12220970,【网海拾贝】：全球退党中心发起“终结中共”倡议
n12220695,杨威：放任共产风潮 美国疫情再起
n12221489,【投书】一个大陆人对欧美政商界人士的心里话
n12223360,【网海拾贝】26省洪灾 中共高层为何不去灾区
n12223920,李春草：土共升入云时代
n12226179,时代革命  全球灭共——白宫请愿 全球联署公开信
n12226226,宋征时：三峡若溃坝 湖北各地逃生路线图
n12226818,高婧婧：末世的危机——左翼思潮在美国
n12226956,【网海拾贝】港版国安法敲响中共丧钟
n12228984,金浴凤：蟾宫曲二章
n12227794,【名家专栏】新一代言论审查员
n12229171,【网海拾贝】2020，扣人心弦的历史大片
n12229898,吐为快：卖花声‧港版法西斯（外一篇）
n12231562,【网海拾贝】一个强大的中共将是全世界的祸水
n12231191,美国冷战武器今派用场 攻击型核潜艇
n12231992,颜纯钩：长远要乐观 行事要积极 周旋要聪明
n12232144,沈舟：美中大战最先可能是太空战
n12232209,李晨：善化人心的力量
n12233200,云鹤天：玩火自焚
n12233384,连小偷都怕的人发誓与美国血拼？
n12233462,小饼子：醒醒吧，沉睡中的人们！
n12233527,雷亭：中共邪恶政权终遭世界唾弃
n12233705,【网海拾贝】中共以邪教组织的本来面目在港裸奔
n12233793,白马：从忠字舞到广场舞
n12234757,钟原：美军双航母南海释放强烈信号
n12234791,吴侃：此时为什么能看好中国股市
n12234945,子薇：莫迟钝
n12234976,陈兵：海外民运的坚持
n12234986,金浴凤：卜算子·土共的运作机制（外一篇）
n12235016,李谦谦：邱印林，您本应该教给苟晶真诚
n12235180,云鹤天：人有多大胆，地有多大产！
n12235337,乾坤子：中共的无神论并不是唯物论，而是有鬼论
n12239675,【网海拾贝】中共向全球直播对香港自由的扼杀
n12239775,谢燕益：正道与良知不可战胜——709五周年记！
n12240176,【网海拾贝】西方已被中共逼到背水一战的地步
n12240627,理悟：长江盛怒
n12240943,李春草：国家恐怖在红朝
n12240970,清奇：我为什么喜欢俄国文学却痛恨俄国？
n12242935,【网海拾贝】别让“国安法“变成“球安法”
n12240124,【纪元播报】杨威：放任共产风潮 美国疫情再起
n12246361,F-1留学生被迫离境的“新规”是怎么回事？
n12246291,颜纯钩：风雨中守望黎明
n12246247,【网海拾贝】警惕中共用“隐藏的手”重整世界
n12247576,我儿患武汉肺炎命危 亲属相助神奇康复
n12248498,【网海拾贝】《国安法》是中共向全世界宣战
n12248615,吐为快：中国人，知道自己在干啥？（外一篇）
n12248625,百家姓：论中共政权的合法性危机
n12248750,关乐：正告恫吓香港大法学员的恶警
n12248839,理悟：明珠濯尘
n12248892,【微评三则】谁愿和流氓无赖交朋友
n12249523,一个俄罗斯小会计，为何影响了全球权贵的命运
n12249556,金浴凤：夏日五章
n12250151,宋征时：三峡若溃坝 湖南各地逃生自救路线图
n12251012,【网海拾贝】2020年，中国人的苦难之年
n12251198,小饼子：中美的一些差距
n12251051,美国冷战武器今派用场 神盾巡洋舰
n12251570,金浴凤：长相思·羊狼能建共同体吗？（外一篇）
n12251661,苦胆：一“梦”警醒世人
n12252340,祝君安：红朝散（外一篇）
n12253231,李春草：大疫有眼
n12254739,【网海拾贝】闫丽梦指证的东西能拿到法庭作证
n12256499,【网海拾贝】中共为何不敢列出制裁美国官员的内容？
n12257129,吐为快：香港的“红色革命”（外一篇）
n12257239,颜纯钩：天助助者，天灭逆者
n12257814,伍新：撕去“现代哲学”的伪装（三）
n12260094,【网海拾贝】如果美国忽略了对普世价值的追求
n12262196,袁斌：红朝发言人脸谱热传 三战狼遭网友痛批
n12264850,【网海拾贝】香港的命运取决于北京是否悬崖勒马
n12265555,伍新：撕去“现代哲学”的伪装（四）
n12265261,唯一逃离大陆的长春插播参与者：推倒防火墙
n12265680,评论员李天笑：历史转盘已到新纪元的临界点
n12265708,汪志远：中共解体在即 呼吁全面收集其罪证
n12266273,甲子：“共产党”是谁？
n12266392,千瑞：谋杀世界，谁应该被审判？
n12266434,祝君安：望海潮·走过七·二0
n12266452,陆言：江泽民的故乡大海和王沪宁的蜜甜生活
n12266774,【网海拾贝】不是中国做错了什么 而是中共作恶太多
n12266890,钟原：对中共使领馆人员的劝善信
n12266142,“将共产主义的祸害从星球上清除”
n12267798,美国冷战武器今派用场 神盾驱逐舰
n12268134,金浴凤：人类公敌是中共
n12268533,小饼子：被压榨的生活
n12269476,【网海拾贝】中共末日将临 请抓紧“三退”
n12270614,钟原：七常委为何至今无一人到洪灾现场 ？
n12272307,【网海拾贝】中共对法轮功的污蔑走入穷途末路
n12273317,杨威：美中关于法轮功问题隔空交锋
n12274031,宋征时：三峡若溃坝 江西各地逃生自救路线图
n12274156,【网海拾贝】是时候向中共下最后通牒了
n12274570,郑强：颂《九评》
n12274774,小饼子：中国的现状
n12274794,祝君安：夏蝉吟（外一篇）
n12274833,伍新：撕去“现代哲学”的伪装（五）
n12274876,苦胆：致许章润教授
n12277436,浩然：致中国大使馆工作人员的公开信
n12277533,千载云：吃地沟油的命 操中南海的心
n12277656,【网海拾贝】美要求中共公布失踪法轮功学员下落
n12278949,沈舟：中共驻美领馆护送什么人出境
n12279731,【网海拾贝】美国为何在7月21日关闭休斯顿领馆？
n12282656,【网海拾贝】半世纪以来美国最强硬的反共宣言
n12282809,祝君安：人类社会由正义主导（外一篇）
n12282923,金浴凤：时局咏（二章）
n12282935,杜云：中共最怕的不是美国，而是自己的人民！
n12283593,吴侃：溃坝与炸坝
n12284522,【网海拾贝】美国吹响了“灭共”集结号
n12285597,理悟：贺任志强被中共开除党籍
n12285672,云鹤天：调笑令·川普捉贼
n12288290,【网海拾贝】背负共产十字架 只会走向罪恶和深渊
n12289882,邢天行：这个最黑暗日子里最耀眼的神奇
n12287474,【瘟疫与中共】大连瘟疫来势汹汹 原因何在？
n12290887,吐为快：民族主义是共匪最后的庇护所（外一篇）
n12290945,颜纯钩：渲染临战是假，勒紧肚皮是真
n12291389,申子：被中共整懵了的中国人
n12292544,钟原：内斗加剧 习近平急于展示军权
n12296470,【网海拾贝】中共才是最邪恶最危险的病毒
n12297682,颜纯钩：戴耀廷心太大，港大庙太小
n12298720,【网海拾贝】美国人对中国持负面看法创新高
n12280363,李木通：为《大纪元》加油打气
n12300228,【微评三则】正常社会是什么样子？
n12300243,理悟：六月飞雪
n12300263,吐为快：党性之恶
n12300541,【网海拾贝】中共是这个时代的核心威胁
n12302091,【网海拾贝】美国对华政策为何发生根本性转变？
n12301979,秦晋：我所读解的李登辉（上）
n12302171,秦晋：我所读解的李登辉（下）
n12302681,黄之锋：战友被通缉及换届选举取消后想说的话
n12302678,袁哲：醒醒吧共谍共特们，你就是块口香糖 ！
n12302838,任世豪：推荐《九评》的总统
n12302929,魏京生：美国对中共的政策转变
n12302985,良方：中共官员也该见见法轮功学员
n12303170,祝君安：读《平安经》有感（外一篇）
n12303226,天逸：喜见晴
n12303243,伍新：撕去“现代哲学”的伪装（六）
n12304053,尘客：七绝 霹雳
n12305277,【网海拾贝】抖音被美国封杀 或成华为第二
n12307646,【网海拾贝】英美这是要给中共输血吗？
n12310224,投书：蔡莉如何处理？
n12310465,谢燕益：反对终身制应成为文明世界共识！
n12312813,【网海拾贝】美国净网，与中国进行数字脱钩
n12315588,【网海拾贝】如果全世界都加入美国的净网行动
n12315846,伍新：撕去“现代哲学”的伪装（七）
n12316258,美国冷战武器今派用场 鱼叉反舰导弹
n12315784,陆言：请看清中共的邪恶 坚决与中共决裂
n12316547,吐为快：中共元素之毒
n12316673,【网海拾贝】川普政府的信心和行动方向
n12316912,颜纯钩：制裁777快人心，不制裁689若有所憾
n12318195,【网海拾贝】再过一二十年想制裁中共为时已晚
n12318290,李春草：踏莎行·制裁效应
n12320751,苦胆：“监控到家”及其它
n12320795,祝君安：危急存亡之秋
n12320812,理悟：末日择路
n12321777,千百度：逮捕黎智英，中共再现纳粹的疯狂
n12321844,地球重要事宜：纽约长岛的含水层可以维持
n12322512,【网海拾贝】极限施压，美国还有哪些招数可用
n12323955,袁斌：8月11日《苹果日报》为何加印20万份
n12324021,【网海拾贝】香港历史上具有标志性意义的一天
n12324188,伍新：撕去“现代哲学”的伪装（八）
n12324257,金浴凤：中国人，毋与邪共为伍
n12324599,歌词：山不转水转
n12324635,万李缘：致前众志成员周庭
n12324177,民主中国阵线：建立“全球反共联盟”的倡议
n12326784,【网海拾贝】“苹果一定撑落去！”
n12295996,拂潇：若拜登当选总统 对在美华人会有何影响
n12327366,吐为快：木兰花‧加速道
n12329079,李春草：专制的末日
n12329296,【网海拾贝】红色恐怖主义征服不了香港人的心
n12332089,吐为快：极权的欲望（外二篇）
n12332313,【网海拾贝】美国应该明白现在是灭共最好时机
n12332450,宋征时：三峡若溃坝安徽各地逃生自救路线图
n12333962,理悟：中共祸武穴
n12334186,祝君安：数字货币（外一篇）
n12334224,【网海拾贝】希望美国加快重建世界新秩序的步伐
n12335354,美国冷战武器今派用场 Mk 48重型鱼雷
n12335834,金浴凤：党和人民的刀肉关系（外一篇）
n12336063,【网海拾贝】美国不会容忍中共统治全球的野心
n12336089,李明心：真实的民意
n12336657,梁晓辉：我渴望中国宗教信仰自由的到来
n12338132,吐为快：雄心与无奈（外一篇）
n12338868,【网海拾贝】微信是海外华人的陷阱
n12339928,顾国平：对联合国机构的改革建议
n12341593,【网海拾贝】中共最近出的招数都是下三滥
n12341690,乾龙：从《西游记》“乌鸡国”说开去
n12341881,投书：蔡霞事件必定加速中共的灭亡
n12342382,祝君安：世纪之选边站
n12344263,【网海拾贝】蔡霞对结束中共暴政的意义
n12345190,理悟：古今三恶犬
n12346892,谢燕益：追魂寻衅滋事案辩护词
n12346998,【网海拾贝】中美另一场“新势力”争夺战已经打响
n12349284,【网海拾贝】奥巴马时代是中共渗透美国的黄金八年
n12349898,颜纯钩：一个谎言帝国不可能成为现代国家？
n12349939,佳月：为何纽约总检察长要解散全美步枪协会
n12349989,苦胆：白俄罗斯最新抗议事件的启示
n12350253,金浴凤：新愚公移山（外一篇）
n12350765,美议员推《点名敌人法案》是对中共又一打击
n12350945,如果蓬佩奥应邀去中国，他会看到什么
n12350973,【网海拾贝】今年美国大选就是对中国政策的公投
n12352317,吐为快：数字赋
n12354438,海网：疫苗鬼速品
n12352963,田园：美国左派为何强推大选邮寄式投票？
n12355511,【网海拾贝】美国刀刀见骨 中共急于求和
n12357784,【网海拾贝】北京认怂！私会10国“改过自新”
n12357822,俞元：美“屠龙斩”破中共九大毒招
n12358172,项云：中共权力决定“主义”用来耍弄人民
n12358319,百家姓：“十年”黄金线——一条神秘的纽带
n12358501,苦胆：清零与追查
n12358523,应微微：三年大饥荒很有可能再度上演
n12358535,理悟：山东高密“土匪”下山
n12358563,二大爷：3千美元不如2千人民币？美国实测数据告诉你！
n12360271,【网海拾贝】美国不能被共产党控制
n12361774,华旸：改变 在我们每一个人的手中
n12361867,金浴凤：话“保党”
n12356341,【视频】上海倪天英：中共对我疯狂迫害的真相
n12362706,郑纯清： 《人民日报》纸包火
n12363010,魏京生：民运组织里的特务问题
n12363182,【网海拾贝】共产党是人类的公敌
n12362670,袁晓辉：我为什么支持川普
n12365569,【网海拾贝】让全世界听到中国人讨共的声音
n12366076,祝君安：中共杂谈
n12366907,伍新：党话民解小集
n12368757,金浴凤：一枝花·共产党
n12371159,李春草：南海无战事
n12371825,【网海拾贝】航母打击实力暴露 中共还剩什么底牌
n12374209,【网海拾贝】如何对付中共，捷克为欧盟树榜样
n12376682,【网海拾贝】海外民运人士倡议“改变中国2020”
n12376923,巴特：内蒙古观众谈蒙古语现状
n12377306,颜纯钩：林郑的三权分工为一国两制送终
n12377546,金浴凤：论共匪的“代表”精神
n12378821,吐为快：庚子悲歌
n12379251,【网海拾贝】王毅破了一个纪录
n12379800,萧辰：谁是中国人各种错位背后的推手
n12380286,王丹：我们为什么发起“海外宪政运动”
n12382024,千百度：中国人民“绝不答应”？网友：我答应
n12382598,莲园：更漏子‧天意难违
n12382604,关乐：开口谎狂撒 过手猛掺假
n12382619,苦胆：摘的演进
n12382819,【网海拾贝】习近平的“绝不答应”与中共的气急败坏
n12383338,【网海拾贝】王毅访欧成“流动箭靶”
n12383691,李春草：金字经（三章）
n12385133,吴新：狗肉包子露了馅还当羊肉包子卖 骗谁？
n12385154,金浴凤：灭共钟声到红船（外一篇）
n12385232,【网海拾贝】美台日欧论坛有划时代意义
n12385309,连万里：让孩子上学去吧
n12387957,祝君安：天灭红朝官先知（外二篇）
n12388155,【网海拾贝】中共代表不了中国人民的十大理由
n12390098,华人网友：“欠法轮功一份感谢和道歉”
n12390506,吐为快：中共的政治算法
n12393043,【网海拾贝】武汉人的尸山血海，换了一串狗链
n12393107,乾元：病毒战与疫苗战
n12393677,萧辰：蒙古语教学改革的背后
n12393919,【网海拾贝】驯兽员给自己养的兽喂花生米
n12395240,李春草：妖共之“抗疫精神”析
n12395387,关乐：平型关战斗
n12397052,伍新：瘟神笑愚狂
n12397106,程万里：中共式灾难三部曲
n12397455,【网海拾贝】胡锡进的叫嚣印证了中共威胁世界和平
n12397515,林傲霜：中共金钱软实力对世界的霸凌与祸害
n12398291,【网海拾贝】蓬佩奥呼吁东盟行动起来一起抗共
n12398849,吐为快：水龙吟 · 快退党
n12398855,金浴凤：战争岂能挽溃败
n12398341,仲维光：马克思、共产党及其文化思想的死敌弗格林的思想历程（一）
n12399868,朱同：大陆军方网络攻防演习 疑似针对台湾
n12400173,【网海拾贝】美国这次成功把中共逼到墙角
n12399107,仲维光：马克思、共产党及其文化思想的死敌弗格林的思想历程（二）
n12401708,【网海拾贝】十四亿人民？十四亿人质！
n12401808,金浴凤：解剖“政治僵尸”
n12401824,致世界各国人民和政府的公开信
n12401953,祝君安：风入松‧恶梦醒来是早晨
n12404172,【网海拾贝】针对中共美国四大杀器全开
n12404288,关乐： 皖南事变
n12404540,陈达：重判催众判——任志强案展望
n12406966,吴新：也说“只要权力不要责任”
n12406988,李春草：天灭中共七章
n12407285,陆言：从大学生发短信辱骂外卖员说起
n12407360,宇尘：荒谬的“绝不答应”
n12407397,程万里：美国驻华大使馆微信公众号将何时被封？
n12409228,纽约州参议员候选人：关于公校安全与教育公平的呼吁
n12409495,【网海拾贝】中美断交可能很快就会成为事实
n12410364,伍新：醉坠最遭罪——中欧峰会观感
n12410381,海网：华为葬歌
n12411761,吐为快：共产风（外一篇）
n12411861,谢田：为什么人们有时要胡说八道？
n12413183,金剑：美国九步可灭中共
n12415054,【网海拾贝】中美三个联合公报基础已不复存在
n12415517,金浴凤：采莲女（三首）
n12416250,【网海拾贝】中共攻击和侵蚀国际人权体系
n12416404,海网： 统战＝统占＋统管
n12416550,郑纯清：严禁共产党员入美真的拉闸了
n12416567,金浴凤：人民吟（外一篇）
n12416632,乾坤子：中共与中国人民的关系是蚊子与人的关系
n12416736,陈达：末日悲嚎亦提醒
n12417369,孙国祥：该是联合国体系纳入台湾的时候
n12418050,【网海拾贝】川普支持率首次压过拜登
n12418089,祝君安：中华民国，大陆遗民盼望你
n12418465,李春草：念奴娇·迎中秋（外一篇）
n12418496,伍新：未来属良善 三退赶紧办
n12419248,隋志：九字真言与“三退”成功抗疫的医学研究
n12419414,千瑞：清除人类垃圾 重建世界清明
n12419654,Susanne Sun：制止中共活摘器官
n12421418,【网海拾贝】中共不敢对台湾动武
n12423543,【网海拾贝】中共是世界最大的黑社会集团
n12423672,投书：任志强被重判18年黄文才该判多少年？
n12423958,陈达：寒蝉造寒蝉 死寂孕火山
n12424021,海网：就川普封微信被暂停寄语在美有良微信用户
n12424043,吐为快：两面党（外一篇）
n12424066,梁京：美台建交进行时
n12426067,【网海拾贝】中共须“为自己的行为承担责任”
n12426784,郑纯清：天灭中共日 善众欢笑中
n12426822,易金：浅谈闫博士世纪新冠报告及撮要
n12428652,祝君安：党在加速亡，谁还执迷欢？
n12428893,【网海拾贝】中共必须承担180个国家的损失
n12431624,【网海拾贝】川普的10月震撼会是什么？
n12432071,千瑞：寥落
n12432124,金浴凤：木兰花
n12432128,沉雁：决定一流，就是下流
n12433562,吴新：越胡挣扎死越突
n12433585,吐为快：迷中醒（外一篇）
n12433808,【网海拾贝】美国不会再容忍配合中共的行为
n12435151,【网海拾贝】中共的独裁扩张不可能主宰世界
n12435354,陆客：末世民风（六）
n12435762,尘客：史无前例之罪恶
n12435874,李春草：哀中共
n12435894,Gilbert：“香港人”何去何从？
n12437525,关乐：重庆会谈（又称“重庆谈判”）
n12440760,【网海拾贝】未来五年会是中美的高风险期
n12441773,金浴凤：中秋吟
n12443573,【网海拾贝】中共是中国实现民主的拦路虎
n12444632,尘客：中秋望月有怀
n12445870,祝君安：庚子秋月夜
n12446580,【网海拾贝】美国正构建全球联盟对冲中共威胁
n12449042,【网海拾贝】川普检测呈阳性美国将做何反应
n12449796,沉雁：老胡这次真的被吓倒了
n12450870,颜纯钩：香港人唯有团结才能走到底
n12451455,李正宽：更大规模瘟疫即将来袭？
n12451842,扬箭：三才灭中共 中国人退党迫在眉睫
n12451869,吴侃：川普总统测试呈阳性说明了什么
n12455635,杨建利：我申请入籍美国的故事
n12456994,佳月：川普染疫后的感人场景
n12458825,【网海拾贝】川普的一举一动，全世界都知道
n12459097,宋征时：中共为何害怕蔡霞？
n12459437,千瑞：退出中共须从灵魂深处开始
n12459469,苦胆：反共大潮
n12461025,千百度：网友小粉红是不是中共操作的结果？
n12462975,云鹤天：调笑令▪禁毒
n12463649,【网海拾贝】去年十一有多猖狂今年就有多凄凉
n12466013,【网海拾贝】只有川普当选，美国才可能再次伟大
n12466075,东方：新疆乌鲁木齐，中共统治下的人间地狱
n12467700,【网海拾贝】中共是搅乱美国的那只幕后黑手
n12467792,金浴凤：沼泽地的社会主义（外一篇）
n12467858,苏淳：那些人格分裂的被洗脑的大陆人
n12468730,李正宽：为何这些明星运势走向衰颓？
n12469018,【网海拾贝】美已组建对抗中共威胁的联盟
n12469722,卞世传：呼吁习近平启动对江泽民的俄奸案调查
n12470034,云鹤天：一七令▪依靠谎言生存
n12464936,河北渔户寨乡为何成疫情爆发地？
n12470870,谢燕益：许志永案法律意见书及致公检法三长公开信
n12471312,骆克仁：疫情时代下的娱乐之都
n12471565,【网海拾贝】川普经济惊人增长少数族裔获益大
n12473948,【网海拾贝】大陆疫情其实一直都存在
n12476892,【网海拾贝】中加建交50周年，特鲁多痛批北京
n12477483,唐国华：华为5G技术到底有多强
n12477527,杨叱：大审判前说说中共政治局几个主要大佬的命运
n12479643,【网海拾贝】中国再被列侵犯网络自由最严重国家
n12481564,袁斌：中共炒台谍案 网友吐糟
n12482443,【网海拾贝】蓬佩奥：年底前须关闭所有孔子学院
n12482512,谢燕益：法轮功学员任海飞案之无罪法律意见书
n12482660,海网：中共早就给拜登挖好坑了
n12482666,颜纯钩：拜登电脑门，选情凶多吉少
n12483372,魏京生：微信和言论自由
n12483755,【网海拾贝】如何应对中共是今年美大选关键议题
n12484172,吐为快：十月惊奇
n12484212,觅真：由一公安头头说坚决不再参与迫害法轮功说起
n12484957,【网海拾贝】拜登父子贪腐案进入法律程序
n12484997,浩然：美国为何会先放华为一条生路？
n12485027,清竹：三天，中共病毒的消失，这不是神迹吗？
n12485125,金浴凤：拜登开启灭共密码
n12485133,陈达：有感于“无冕之王”无免狂妄
n12487258,祝君安：竞选与保党（三章）
n12487896,【网海拾贝】中共的拜登总统梦碎了
n12489662,【网海拾贝】拜登经济学会让美国付出代价
n12490950,尘客：成都大学党委书记自杀有感
n12490965,颜纯钩：莫忘初衷，占领一切民主阵地
n12491121,李春草：摸着石头过河
n12492877,【网海拾贝】班农：拜登向中共妥协，是骗子
n12493391,乾坤子：武歌
n12495621,【网海拾贝】无所不用的中共是活生生的魔鬼
n12495696,袁斌：为何大陆年轻一代很多人如此堕落？
n12498162,【网海拾贝】永远不要相信中共，死了也要防它装死
n12498310,唐付民：“中国模式”罪恶逻辑
n12498721,郑纯清：听惯了的贼船艄公号子
n12498731,朱颜：小拜登“跨国败丑闻”说明美国这台“收银机”该升级
n12498772,吴新：一剑似为东风欠
n12498780,梁之：胡锡进的“优势”
n12498829,伍新：美国大选末场辩论疫情问题的启示
n12498837,郑法途：叹“一尊”
n12497980,唤醒沉睡正义 唐浩与您相约《十字路口》
n12500320,【网海拾贝】病毒这笔账，必须算在中共头上
n12500433,袁晓辉：有关川普与拜登的民调和支持者
n12501183,陆言：气候暖化的真相
n12501529,祝君安：中共特色的奴隶社会
n12502536,晨光：疫情下，由天象解读美国大选结果
n12503034,清竹：是“坑爹”还是“害儿”？
n12503866,关乐：谁还愿见毛岸英？
n12504537,【网海拾贝】毛泽东的肿脸与习近平的风车
n12506843,骆克仁：要真打台湾还会一直喊吗？
n12507053,【网海拾贝】纽约时报成了美国版的环球时报
n12507669,玲兰：听不懂的“一带一路”
n12507682,徐芝达：探讨中国大陆“端对端”加密通讯的突破方式
n12507804,金浴凤：真相揭盖之时（三章）
n12507822,陆客：末世民风（七）
n12509816,【网海拾贝】中共密谋颠覆美国
n12509971,李正宽：法国遭二波疫情重袭 背后原因何在？
n12510042,寄言《纽约时报》：认清局势勿做“梁上君子”
n12510403,关乐：裸奔口哨吹坟前
n12510470,吐为快：五中全会之妄（外一首）
n12510623,连万里：想当年‧离乡背井
n12510636,隋志：全世界都是法轮功的后盾
n12510217,陈纬霆：马克思“共产主义”行骗术（上）
n12515122,【网海拾贝】纽约时报是不是被中共收买了？
n12515589,陈清竹：美国大选的背后使你更震惊
n12515820,二大爷：怎么看川粉？
n12515831,乾元：任正非能走出沼泽吗？
n12516879,【网海拾贝】中共是宗教自由的最大威胁
n12517133, 金浴凤：论共匪的循环
n12517257,邢天行：女巫诅咒川普背后的精神大战
n12518581,佳月：“川普2020”是一场世界运动
n12518588,吐为快：无语
n12520988,读者投书：曝光青岛市的黑暗和邪恶
n12521419,【网海拾贝】两个世界，两个景象，两个命运
n12523844,【网海拾贝】美国通过什么来再次伟大？
n12524071,祝君安：黎明前的中共
n12527932,谢田：美国大选僵局 神在考验我们的信心
n12528850,【网海拾贝】美国人民不会接受选举作弊
n12531883,【网海拾贝】一场没有硝烟的选票战争
n12533153,观雨堂主：美国大选舞弊背后的鬼影
n12533161,【网海拾贝】2020大选 既关乎美国 更关乎世界
n12533180,袁斌：左派如何在选票上造假？网友总结七招
n12533446,邢天行：这一字之变诠释了中国当朝乱象玄机
n12535061,【网海拾贝】这是给全世界选择是非善恶的机会
n12535726,祝君安：如果拜登当选
n12535743,Jam：我做了正确选择 把那一票投给川普
n12535700,施卫江：论人类的不平等（一）
n12536001,李扬天：针对纽时攻击大纪元 必须说清楚的几点
n12537615,关乐：中共咋倒静悄悄？
n12537664,诸葛高参：神选了川普 没选拜登
n12538029,【网海拾贝】美国大选成了本世纪最大欺诈丑闻
n12540208,袁斌：“你为什么讨厌共产党”网友回答实录
n12540423,【网海拾贝】守住美国宪政 才有未来
n12540898,郑法途：挺川普
n12540916,云鹤天：清平乐‧美国大选
n12541352,喻智官：川普若不能胜选 世界将付出沉重代价
n12543321,【网海拾贝】潮水退去后就看出究竟谁在裸泳了
n12543564,陈汉中：一场预先设定了结果的总统大选
n12543828,尘客：美国总统大选
n12543937,杨剑：大选舞弊 美国应吸取什么教训
n12545089,投书：为什么说共产党是中华民族的汉奸、骗子、罪人
n12545309,吐为快：墙国梦碎
n12545394,郑纯青：良知醒无畏
n12545424,袁斌：专家建议女性延迟退休 网友吐槽
n12546043,【网海拾贝】对中共短视会让全世界付出大代价
n12547576,黄翔：中共是中共 中国是中国（之一）
n12547914,金慧：我们正处于人类历史大洪水期的前夜
n12548326,【网海拾贝】这个世界正面临着重新塑造
n12549087,高雷：选择
n12549093,阳剑：到这一步，拜登的命运真让人担忧
n12550594,莲园：总统选举 正邪较量
n12550603,宇明：大选三部曲
n12550630,苦胆：大选如镜
n12550640,林泉：让川普再做四年总统
n12550656,吴新：民营企业家孙大午被黑感言
n12550984,心升：醒脑歌
n12551085,金浴凤：为川普加油
n12551111,安吉：为了守住人类道德底线而战
n12551647,东方觉：看美国大选
n12551973,【网海拾贝】川普在领导美国第四次命运之战
n12552446,山月：美国大选
n12552957,苦胆：一念
n12552970,伍新：天已选川普，红魔怎改换？
n12553012,梁鸣：再论中共政府的疫情赔偿责任
n12552947,李劼：美国左媒的最后一个冬天是寒冷的
n12554309,华旸：纽约等深蓝州共和党候选人的策略
n12555041,吐为快：选举拾英
n12555353,【网海拾贝】中共是世界祸乱之源
n12557342,薛木子：川普对抗影子金权 习近平深感危机
n12558004,李友友：关于独裁腐败中国经济发展思考
n12558036,刘忠平：从一例强拆案看中共的荒唐司
n12558174,杰米：念奴娇
n12558189,罗博特：“候任总统”之败登
n12558255,隋志：信神或反神 决定了疫情与选情
n12558380,李春草：左派的竞选荒诞剧
n12559936,【网海拾贝】是该终止腐败了，在美国陷落前
n12560492,吕朴：对于两种落后的认识
n12560581,风儿：一封给小英政府与台湾人民的公开信
n12560774,向真：“川粉”力挺川普的主要因素
n12561967,吐为快：正义必胜看大选
n12562542,【网海拾贝】为了守住人类道德底线而战
n12563356,颜纯钩：习近平面临内外麻烦自我周旋
n12562417,陈纬霆：“社会主义”与“共产主义”的区别
n12564986,袁斌：一个海外同胞感叹：回国就像爬天梯
n12565068,【网海拾贝】不联合抗共，欧美终将沦为殖民地
